adc-immediate 69
adc-zero-page 65
adc-zero-page-x 75
adc-absolute 6d
adc-absolute-x 7d
adc-absolute-y 79
adc-indirect-x 61
adc-indirect-y 71
and-immediate 29
and-zero-page 25
and-zero-page-x 35
and-absolute 2d
and-absolute-x 3d
and-absolute-y 39
and-indirect-x 21
and-indirect-y 31
asl-accumulator 0a
asl-zero-page 06
asl-zero-page-x 16
asl-absolute 0e
asl-absolute-x 1e
bit-zero-page 24
bit-absolute 2c
brk-implied 00
cmp-immediate c9
cmp-zero-page c5
cmp-zero-page-x d5
cmp-absolute cd
cmp-absolute-x dd
cmp-absolute-y d9
cmp-indirect-x c1
cmp-indirect-y d1
cpx-immediate e0
cpx-zero-page e4
cpx-absolute ec
cpy-immediate c0
cpy-zero-page c4
cpy-absolute cc
dec-zero-page c6
dec-zero-page-x d6
dec-absolute ce
dec-absolute-x de
eor-immediate 49
eor-zero-page 45
eor-zero-page-x 55
eor-absolute 4d
eor-absolute-x 5d
eor-absolute-y 59
eor-indirect-x 41
eor-indirect-y 51
inc-zero-page e6
inc-zero-page-x f6
inc-absolute ee
inc-absolute-x fe
jmp-absolute 4c
jmp-indirect 6c
jsr-absolute 20
lda-immediate a9
lda-zero-page a5
lda-zero-page-x b5
lda-absolute ad
lda-absolute-x bd
lda-absolute-y b9
lda-indirect-x a1
lda-indirect-y b1
ldx-immediate a2
ldx-zero-page a6
ldx-zero-page-y b6
ldx-absolute ae
ldx-absolute-y be
ldy-immediate a0
ldy-zero-page a4
ldy-zero-page-x b4
ldy-absolute ac
ldy-absolute-x bc
lsr-accumulator 4a
lsr-zero-page 46
lsr-zero-page-x 56
lsr-absolute 4e
lsr-absolute-x 5e
nop-implied ea
ora-immediate 09
ora-zero-page 05
ora-zero-page-x 15
ora-absolute 0d
ora-absolute-x 1d
ora-absolute-y 19
ora-indirect-x 01
ora-indirect-y 11
rol-accumulator 2a
rol-zero-page 26
rol-zero-page-x 36
rol-absolute 2e
rol-absolute-x 3e
ror-accumulator 6a
ror-zero-page 66
ror-zero-page-x 76
ror-absolute 6e
ror-absolute-x 7e
rti-implied 40
rts-implied 60
sbc-immediate e9
sbc-zero-page e5
sbc-zero-page-x f5
sbc-absolute ed
sbc-absolute-x fd
sbc-absolute-y f9
sbc-indirect-x e1
sbc-indirect-y f1
sta-zero-page 85
sta-zero-page-x 95
sta-absolute 8d
sta-absolute-x 9d
sta-absolute-y 99
sta-indirect-x 81
sta-indirect-y 91
stx-zero-page 86
stx-zero-page-y 96
stx-absolute 8e
sty-zero-page 84
sty-zero-page-x 94
sty-absolute 8c
bpl 10
bmi 30
bvc 50
bvs 70
bcc 90
bcs b0
bne d0
beq f0
tax aa
txa 8a
dex ca
inx e8
tay a8
tya 98
dey 88
iny c8
clc 18
sec 38
cli 58
sei 78
clv b8
cld d8
sed f8
txs 9a
tsx ba
pha 48
pla 68
php 08
plp 28
